Country Name,Country Code,GNI
阿鲁巴,ABW,36750.0
,AFE,3742.612950230648
阿富汗,AFG,2190.0
,AFW,4177.241642369067
安哥拉,AGO,7680.0
阿尔巴尼亚,ALB,13830.0
阿拉伯联盟国家,ARB,16026.859780476083
阿拉伯联合酋长国,ARE,73740.0
阿根廷,ARG,23000.0
亚美尼亚,ARM,14420.0
安提瓜和巴布达,ATG,21340.0
澳大利亚,AUS,52240.0
奥地利,AUT,57870.0
阿塞拜疆,AZE,16940.0
布隆迪,BDI,840.0
比利时,BEL,54790.0
贝宁,BEN,3470.0
布基纳法索,BFA,2150.0
孟加拉国,BGD,5390.0
保加利亚,BGR,24150.0
巴林,BHR,49600.0
巴哈马,BHS,36180.0
波斯尼亚和黑塞哥维那,BIH,15720.0
白俄罗斯,BLR,19500.0
伯利兹,BLZ,7170.0
百慕大,BMU,86450.0
玻利维亚,BOL,8910.0
巴西,BRA,15430.0
巴巴多斯,BRB,15740.0
文莱达鲁萨兰国,BRN,86130.0
不丹,BTN,11250.0
博茨瓦纳,BWA,16980.0
中非共和国,CAF,1110.0
加拿大,CAN,49140.0
中歐和波羅的海,CEB,32835.18218658818
瑞士,CHE,69440.0
智利,CHL,24550.0
中国,CHN,17090.0
科特迪瓦,CIV,5300.0
喀麦隆,CMR,3820.0
刚果（金）,COD,1110.0
刚果（布）,COG,6020.0
哥伦比亚,COL,15320.0
科摩罗,COM,3140.0
佛得角,CPV,7310.0
哥斯达黎加,CRI,21150.0
加勒比小国,CSS,16098.89266618691
库拉索,CUW,27100.0
开曼群岛,CYM,61850.0
塞浦路斯,CYP,40390.0
捷克共和国,CZE,40260.0
德国,DEU,57460.0
多米尼克,DMA,12680.0
丹麦,DNK,62260.0
多米尼加共和国,DOM,18310.0
阿尔及利亚,DZA,13360.0
东亚与太平洋地区（不包括高收入）,EAP,15028.238710179512
早人口紅利,EAR,9512.810450923984
东亚与太平洋地区,EAS,18454.61549128226
欧洲与中亚地区（不包括高收入）,ECA,22599.67125201639
欧洲与中亚地区,ECS,36457.22787449231
厄瓜多尔,ECU,11530.0
阿拉伯埃及共和国,EGY,12220.0
欧洲货币联盟,EMU,49169.15567391784
厄立特里亚,ERI,1610.0
西班牙,ESP,41790.0
爱沙尼亚,EST,37520.0
