Country Name,Country Code,NI
阿鲁巴,ABW,3872058693.5858126
,AFE,2470297725338.6606
阿富汗,AFG,83181446280.51091
,AFW,1879983530289.7363
安哥拉,AGO,206980822098.84607
阿尔巴尼亚,ALB,39472187049.77348
阿拉伯联盟国家,ARB,6345359325268.489
阿拉伯联合酋长国,ARE,698626382225.361
阿根廷,ARG,1012884046242.6924
亚美尼亚,ARM,42645220949.61753
安提瓜和巴布达,ATG,2072715555.7748675
澳大利亚,AUS,1341876157064.0293
奥地利,AUT,513848884230.0273
阿塞拜疆,AZE,161560771985.52386
布隆迪,BDI,9216664891.562748
比利时,BEL,629492134526.7181
贝宁,BEN,42055170094.25408
布基纳法索,BFA,44171412179.64145
孟加拉国,BGD,887647511814.2626
保加利亚,BGR,167425422139.0752
巴林,BHR,72975855785.97752
巴哈马,BHS,14091069988.50934
波斯尼亚和黑塞哥维那,BIH,51887201732.94131
白俄罗斯,BLR,183671554258.8441
伯利兹,BLZ,2707239148.735429
百慕大,BMU,5525090880.087694
玻利维亚,BOL,102525502797.77664
巴西,BRA,3160689540388.808
巴巴多斯,BRB,4517858240.087767
文莱达鲁萨兰国,BRN,34364760477.971214
不丹,BTN,8582525779.56955
博茨瓦纳,BWA,39110422180.126816
中非共和国,CAF,5023424134.643857
加拿大,CAN,1829899739101.9028
中歐和波羅的海,CEB,3357497755730.5854
瑞士,CHE,597423677480.2045
智利,CHL,463897841813.0947
中国,CHN,24110997272616.89
科特迪瓦,CIV,139759545926.54968
喀麦隆,CMR,100441642992.56685
刚果（金）,COD,99591010281.52068
刚果（布）,COG,28507863808.388702
哥伦比亚,COL,771292517362.33
科摩罗,COM,2723938978.269459
佛得角,CPV,4021746586.255723
哥斯达黎加,CRI,106777040805.62593
加勒比小国,CSS,119154167091.69647
库拉索,CUW,4225058550.0331454
开曼群岛,CYM,3773183576.2143326
塞浦路斯,CYP,35619832759.549576
捷克共和国,CZE,429617981494.4393
德国,DEU,4774294432950.147
多米尼克,DMA,910781651.9761194
丹麦,DNK,363081808910.9147
多米尼加共和国,DOM,196666787070.68353
阿尔及利亚,DZA,504394643781.06805
东亚与太平洋地区（不包括高收入）,EAP,31767002866615.406
早人口紅利,EAR,31299914887252.63
东亚与太平洋地区,EAS,43568672713585.805
欧洲与中亚地区（不包括高收入）,ECA,9496646185852.25
欧洲与中亚地区,ECS,33570046529200.016
厄瓜多尔,ECU,199859010586.2728
阿拉伯埃及共和国,EGY,1250026096587.8306
欧洲货币联盟,EMU,16829720925081.557
厄立特里亚,ERI,5164760114.435224
西班牙,ESP,1969537647569.787
爱沙尼亚,EST,49947199898.70787
埃塞俄比亚,ETH,277027105008.32196
欧洲联盟,EUU,20635321770988.26
脆弱和受衝突影響的情況下,FCS,4071455558436.7
芬兰,FIN,284274682682.9184
斐济,FJI,11719040021.836536
法国,FRA,3370864656819.132
密克罗尼西亚联邦,FSM,457741306.3060779
加蓬,GAB,31836970469.747284
英国,GBR,3258773242953.37
格鲁吉亚,GEO,55533663685.62785
加纳,GHA,184341964300.62
几内亚,GIN,33835230505.245506
冈比亚,GMB,5406913955.614681
几内亚比绍共和国,GNB,3964689254.7236133
赤道几内亚,GNQ,25707960045.80394
希腊,GRC,322508731204.6434
格林纳达,GRD,1778870812.888593
危地马拉,GTM,147011473440.19894
圭亚那,GUY,13060820758.4021
高收入国家,HIC,63641483060781.58
中国香港特别行政区,HKG,489812172672.4055
洪都拉斯,HND,53822809161.66992
重债穷国 (HIPC),HPC,2155195894392.4343
克罗地亚,HRV,122459409464.97845
海地,HTI,36200187558.308624
匈牙利,HUN,318863624892.0197
只有IBRD,IBD,66156078688195.49
IBRD与IDA,IBT,72472505613895.38
IDA總,IDA,6415465663335.994
IDA混合,IDB,2816614162777.2026
印度尼西亚,IDN,3230518083144.2974
只有IDA,IDX,3624299846576.2236
印度,IND,9471270359306.932
爱尔兰,IRL,354158751853.5704
伊朗伊斯兰共和国,IRN,1344189230215.9446
伊拉克,IRQ,512778423816.2704
冰岛,ISL,20828277679.399178
以色列,ISR,360185849286.13885
意大利,ITA,2670928618321.568
牙买加,JAM,29206444216.766235
约旦,JOR,106058343397.91681
日本,JPN,5588985159706.235
哈萨克斯坦,KAZ,457818984406.2963
肯尼亚,KEN,242046296541.76328
吉尔吉斯斯坦,KGZ,32276268598.5465
柬埔寨,KHM,71062421333.77101
基里巴斯,KIR,571658759.2186252
圣基茨和尼维斯,KNA,1510792601.9032795
大韩民国,KOR,2362368503150.0127
科威特,KWT,296212687021.7118
拉丁美洲与加勒比海地区（不包括高收入）,LAC,9166839685488.059
老挝,LAO,56738119427.54927
黎巴嫩,LBN,109497813405.83064
利比里亚,LBR,6757620655.234197
利比亚,LBY,185208123493.37134
圣卢西亚,LCA,2739712623.386111
拉丁美洲与加勒比海地区,LCN,10363477286914.35
最不发达国家：联合国分类,LDC,3273199632430.8057
低收入国家,LIC,1325270251071.6733
斯里兰卡,LKA,288467518887.90533
中低等收入国家,LMC,24067608004761.08
中低收入国家,LMY,70137019522553.77
莱索托,LSO,7086503862.791095
後期人口紅利,LTE,41727697733128.84
立陶宛,LTU,105524293879.55742
卢森堡,LUX,52467328446.1446
拉脱维亚,LVA,60106254156.23027
中国澳门特别行政区,MAC,75796054375.18462
摩洛哥,MAR,285768659129.1533
摩尔多瓦,MDA,38068978566.190445
马达加斯加,MDG,43859002152.23299
马尔代夫,MDV,9719419427.846706
中东与北非地区,MEA,7573684686657.383
墨西哥,MEX,2467366560795.4214
马绍尔群岛,MHL,305418299.9559118
中等收入国家,MIC,68871739991411.16
北马其顿,MKD,34794480119.95803
马里,MLI,45892214570.7973
马耳他,MLT,21410479707.144463
缅甸,MMR,271179569231.50818
中东与北非地区（不包括高收入）,MNA,4089037026470.1094
黑山,MNE,14528631622.390854
蒙古,MNG,37328206561.7915
莫桑比克,MOZ,39788174760.286476
毛里塔尼亚,MRT,24900662801.965508
毛里求斯,MUS,33911899321.259815
马拉维,MWI,29679033189.210476
马来西亚,MYS,921757895758.0546
北美,NAC,23544074829981.89
纳米比亚,NAM,24884649885.372963
尼日尔,NER,31044217375.812206
尼日利亚,NGA,1040476726595.3861
尼加拉瓜,NIC,36355644886.80359
荷兰,NLD,1027692218612.4448
挪威,NOR,384746596905.9481
尼泊尔,NPL,119084848995.49138
瑙魯,NRU,223261851.18607247
新西兰,NZL,220594370488.82523
经合组织成员,OED,63153616646729.72
阿曼,OMN,174844325113.63083
其他小国,OSS,719009284890.9381
巴基斯坦,PAK,1041030655369.5404
巴拿马,PAN,129802091372.30983
秘鲁,PER,416829398177.2972
菲律宾,PHL,1105173227152.3154
帕劳,PLW,348739526.55590063
巴布亚新几内亚,PNG,37932410608.700356
波兰,POL,1252324490365.8196
預人口紅利,PRE,3394646758194.21
波多黎各,PRI,80211595023.59612
葡萄牙,PRT,362410185382.8544
巴拉圭,PRY,90407482188.92291
约旦河西岸和加沙,PSE,35895154494.28141
太平洋岛国,PSS,18579020005.82531
人口紅利之後,PST,57220960445390.414
卡塔尔,QAT,306140973565.75995
罗马尼亚,ROU,609714808134.3046
俄罗斯联邦,RUS,4264863549138.955
卢旺达,RWA,28331119618.830482
南亚,SAS,11863331130772.479
沙特阿拉伯,SAU,1760505616548.4006
苏丹,SDN,185703607000.56512
塞内加尔,SEN,57227142318.916405
新加坡,SGP,515129575424.207
所罗门群岛,SLB,1840759049.1534333
塞拉利昂,SLE,13711354570.07574
萨尔瓦多,SLV,56097027084.47128
塞尔维亚,SRB,127977375507.27103
撒哈拉以南非洲地区（不包括高收入）,SSA,4333830366092.7075
撒哈拉以南非洲地区,SSF,4336534449776.092
小国,SST,856732777045.1245
圣多美和普林西比,STP,931509896.5618865
苏里南,SUR,10342353903.951014
斯洛伐克共和国,SVK,171320140150.53278
斯洛文尼亚,SVN,83650603107.41121
瑞典,SWE,587454493265.2856
斯威士兰,SWZ,9347907543.56745
圣马丁(荷属),SXM,1527597323.9219012
塞舌尔,SYC,2704177217.0587096
乍得,TCD,25851756448.139217
东亚与太平洋地区 (IBRD与IDA),TEA,31727156636157.387
欧洲与中亚地区 (IBRD与IDA),TEC,10866190862828.834
多哥,TGO,18448242466.73609
泰国,THA,1289835169034.3857
塔吉克斯坦,TJK,42924221613.84747
土库曼斯坦,TKM,92712829919.45155
拉丁美洲与加勒比海地区 (IBRD与IDA),TLA,10095214723271.893
东帝汶,TLS,10078386101.60356
中东与北非地区 (IBRD与IDA),TMN,4053351260794.963
汤加,TON,767485139.9480577
南亚 (IBRD与IDA),TSA,11863331130772.479
撒哈拉以南非洲地区 (IBRD与IDA),TSS,4336534449776.0913
特立尼达和多巴哥,TTO,38571392278.358116
突尼斯,TUN,133451211480.6272
土耳其,TUR,2268901376190.006
图瓦卢,TUV,75823941.56615318
坦桑尼亚,TZA,159876250544.1971
乌干达,UGA,103202457018.80421
乌克兰,UKR,567892935465.5297
中高等收入国家,UMC,44902244940229.43
乌拉圭,URY,79086764616.27858
美国,USA,21708649999999.9
乌兹别克斯坦,UZB,263908912902.2016
圣文森特和格林纳丁斯,VCT,1427732148.2153668
委内瑞拉玻利瓦尔共和国,VEN,493557717634.1779
越南,VNM,793497044962.6713
瓦努阿图,VUT,1058464072.3224512
世界,WLD,134159125497187.28
萨摩亚,WSM,1305043832.600877
科索沃,XKX,21583974734.292633
也门共和国,YEM,90700650718.07217
南非,ZAF,815895320521.8015
赞比亚,ZMB,63485498828.488815
津巴布韦,ZWE,57026192021.565796
