Country Name,Country Code,Per_Agiricutural
阿鲁巴,ABW,0.019672453646781093
,AFE,0.2148540087098216
阿富汗,AFG,0.2670160546443747
,AFW,0.2738681903969218
安哥拉,AGO,0.19404921253178073
阿尔巴尼亚,ALB,0.21567392800183305
安道尔共和国,AND,0.01077810097652192
阿拉伯联盟国家,ARB,0.15897668083613656
阿拉伯联合酋长国,ARE,0.005918130039328664
阿根廷,ARG,0.9525733077572568
亚美尼亚,ARM,0.15616004805780287
美属萨摩亚,ASM,0.054092064694109376
安提瓜和巴布达,ATG,0.04543905486765875
澳大利亚,AUS,1.4187495948974809
奥地利,AUT,0.16306757392085805
阿塞拜疆,AZE,0.21255256604072667
布隆迪,BDI,0.12578218173806238
比利时,BEL,0.07654475858388893
贝宁,BEN,0.2717611667206928
布基纳法索,BFA,0.3844869511857289
孟加拉国,BGD,0.05279333993212813
保加利亚,BGR,0.4950863603992406
巴林,BHR,0.001289424143177657
巴哈马,BHS,0.025356684021908174
波斯尼亚和黑塞哥维那,BIH,0.31627308569747464
白俄罗斯,BLR,0.6054558261987618
伯利兹,BLZ,0.24381729218731818
百慕大,BMU,0.00469682025268893
玻利维亚,BOL,0.42762188592098976
巴西,BRA,0.2683008889433662
巴巴多斯,BRB,0.042533433050604155
文莱达鲁萨兰国,BRN,0.012363568026823998
不丹,BTN,0.14675376585334543
博茨瓦纳,BWA,0.1924716762607254
中非共和国,CAF,0.4103251484864131
加拿大,CAN,1.108281812065318
中歐和波羅的海,CEB,0.35853798813097754
瑞士,CHE,0.05169389190340744
海峡群岛,CHI,0.02739300577675632
智利,CHL,0.07642055187127646
中国,CHN,0.09072986944057172
科特迪瓦,CIV,0.15846062475319758
喀麦隆,CMR,0.30479957068488855
刚果（金）,COD,0.16809583143350024
刚果（布）,COG,0.12059591675878223
哥伦比亚,COL,0.12306316086389481
科摩罗,COM,0.09424442073029277
佛得角,CPV,0.10885894058479023
哥斯达黎加,CRI,0.05459923548823759
加勒比小国,CSS,0.10590557295632001
古巴,CUB,0.30144756295590713
开曼群岛,CYM,0.003529079616036138
塞浦路斯,CYP,0.08745339546710482
捷克共和国,CZE,0.30273781530415556
德国,DEU,0.14792902541007077
吉布提,DJI,0.0023428229376422534
多米尼克,DMA,0.08465369583927085
丹麦,DNK,0.4486074320554514
多米尼加共和国,DOM,0.08529738588313675
阿尔及利亚,DZA,0.20851949739296427
东亚与太平洋地区（不包括高收入）,EAP,0.09850766309162128
早人口紅利,EAR,0.14738859390153103
东亚与太平洋地区,EAS,0.10419882290202166
欧洲与中亚地区（不包括高收入）,ECA,0.6046333149123917
欧洲与中亚地区,ECS,0.3795759011151395
厄瓜多尔,ECU,0.07903477383490659
阿拉伯埃及共和国,EGY,0.034714316280697766
欧洲货币联盟,EMU,0.19383878291547213
厄立特里亚,ERI,0.21763561300855372
西班牙,ESP,0.2689745519114337
爱沙尼亚,EST,0.5289597884160846
埃塞俄比亚,ETH,0.16855127729855743
欧洲联盟,EUU,0.2303648073679482
脆弱和受衝突影響的情況下,FCS,0.22802324899627857
芬兰,FIN,0.4204087294661995
斐济,FJI,0.19190152311657377
法国,FRA,0.28143014252199894
法罗群岛,FRO,0.06275756751668306
密克罗尼西亚联邦,FSM,0.019433324264448677
加蓬,GAB,0.20010516295948763
英国,GBR,0.0977010561316691
格鲁吉亚,GEO,0.11181740811713149
加纳,GHA,0.18644358221237828
几内亚,GIN,0.28459110821705413
冈比亚,GMB,0.250948165819856
几内亚比绍共和国,GNB,0.19703100545578855
赤道几内亚,GNQ,0.12716714001102114
希腊,GRC,0.23081748864637816
格林纳达,GRD,0.02824140755175238
格陵兰,GRL,0.016038778201518337
危地马拉,GTM,0.08387841893023318
关岛,GUM,0.006271991169036434
圭亚那,GUY,0.5604259237020135
高收入国家,HIC,0.29013751979782626
中国香港特别行政区,HKG,0.0004982773839013696
洪都拉斯,HND,0.12263348925820806
重债穷国 (HIPC),HPC,0.2540543545963803
克罗地亚,HRV,0.21239312974773863
海地,HTI,0.110560341924944
匈牙利,HUN,0.44322979342890917
只有IBRD,IBD,0.17494566205688958
IBRD与IDA,IBT,0.17830280826416137
IDA總,IDA,0.1958134395645582
IDA混合,IDB,0.18328252252239527
印度尼西亚,IDN,0.09937617118643537
只有IDA,IDX,0.2032814829372314
马恩岛,IMN,0.2990949373055529
印度,IND,0.12720683480122105
爱尔兰,IRL,0.1049258696480708
伊朗伊斯兰共和国,IRN,0.20864254920578296
伊拉克,IRQ,0.14585050094082147
冰岛,ISL,0.3867425897918822
