Country Name,Country Code,Percent_Of_Educate
阿鲁巴,ABW,22.8549900054932
,AFE,18.556805610656752
阿富汗,AFG,17.0675601959229
,AFW,17.6112308502197
安哥拉,AGO,9.86478042602539
阿根廷,ARG,15.1585597991943
亚美尼亚,ARM,12.5933399200439
澳大利亚,AUS,14.3240003585815
奥地利,AUT,10.9884901046753
阿塞拜疆,AZE,10.5025300979614
布隆迪,BDI,27.4972400665283
比利时,BEL,12.3507099151611
贝宁,BEN,26.1439609527588
布基纳法索,BFA,22.661169052124
孟加拉国,BGD,21.0
保加利亚,BGR,12.7309503555298
白俄罗斯,BLR,13.2640399932861
伯利兹,BLZ,22.7557792663574
百慕大,BMU,12.9342403411865
巴西,BRA,16.5049095153809
巴巴多斯,BRB,18.5185508728027
文莱达鲁萨兰国,BRN,11.4419498443604
不丹,BTN,25.5244808197021
中非共和国,CAF,9.79780960083008
加拿大,CAN,12.3359603881836
中歐和波羅的海,CEB,11.546480178833
瑞士,CHE,15.5266599655151
智利,CHL,21.3795299530029
中国,CHN,14.4071702957153
科特迪瓦,CIV,22.7727508544922
喀麦隆,CMR,18.7538890838623
刚果（金）,COD,16.1747398376465
刚果（布）,COG,24.7277793884277
哥伦比亚,COL,16.2627296447754
佛得角,CPV,17.8430099487305
哥斯达黎加,CRI,30.1514205932617
加勒比小国,CSS,17.59129476547245
塞浦路斯,CYP,16.4027805328369
捷克共和国,CZE,13.971489906311
德国,DEU,11.2301797866821
吉布提,DJI,13.991530418396
丹麦,DNK,15.3363304138184
多米尼加共和国,DOM,25.9316005706787
东亚与太平洋地区（不包括高收入）,EAP,16.0162200927734
早人口紅利,EAR,17.1334352493286
东亚与太平洋地区,EAS,16.21829986572265
欧洲与中亚地区（不包括高收入）,ECA,13.772500038147001
欧洲与中亚地区,ECS,12.3531198501587
厄瓜多尔,ECU,12.9965600967407
欧洲货币联盟,EMU,12.095095157623302
西班牙,ESP,10.6098098754883
爱沙尼亚,EST,13.6427898406982
埃塞俄比亚,ETH,30.5395393371582
欧洲联盟,EUU,12.025239944458
脆弱和受衝突影響的情況下,FCS,16.1652793884277
芬兰,FIN,12.893159866333
斐济,FJI,20.8386993408203
加蓬,GAB,16.0584392547607
英国,GBR,13.7612800598145
加纳,GHA,37.5209617614746
几内亚,GIN,15.7688598632813
冈比亚,GMB,17.6112308502197
几内亚比绍共和国,GNB,16.1913795471191
危地马拉,GTM,24.0855007171631
圭亚那,GUY,18.735689163208
高收入国家,HIC,13.0209846496582
中国香港特别行政区,HKG,20.6210594177246
重债穷国 (HIPC),HPC,17.548059463501
克罗地亚,HRV,9.46037006378174
匈牙利,HUN,10.0750398635864
只有IBRD,IBD,14.94863510131835
IBRD与IDA,IBT,15.872620105743401
IDA總,IDA,16.5964698791504
IDA混合,IDB,16.4803204536438
印度尼西亚,IDN,21.0787792205811
只有IDA,IDX,16.946784973144553
印度,IND,14.0501804351807
爱尔兰,IRL,13.5666399002075
伊朗伊斯兰共和国,IRN,21.6735000610352
冰岛,ISL,17.2171592712402
以色列,ISR,15.7010803222656
意大利,ITA,8.79574012756348
牙买加,JAM,21.7974891662598
约旦,JOR,12.1501598358154
肯尼亚,KEN,20.5559902191162
吉尔吉斯斯坦,KGZ,18.1950092315674
柬埔寨,KHM,9.59706974029541
拉丁美洲与加勒比海地区（不包括高收入）,LAC,17.9047145843506
老挝,LAO,13.341010093689
黎巴嫩,LBN,9.89828968048096
圣卢西亚,LCA,21.975700378418
拉丁美洲与加勒比海地区,LCN,17.577299118042
最不发达国家：联合国分类,LDC,16.1728191375732
低收入国家,LIC,16.33836460113525
斯里兰卡,LKA,17.728759765625
中低等收入国家,LMC,17.0810298919678
中低收入国家,LMY,15.926830291748
後期人口紅利,LTE,14.48905515670775
立陶宛,LTU,13.5359697341919
拉脱维亚,LVA,18.7440204620361
中国澳门特别行政区,MAC,22.3286094665527
摩纳哥,MCO,8.87594985961914
摩尔多瓦,MDA,22.2670097351074
马尔代夫,MDV,12.4059295654297
墨西哥,MEX,19.0187492370605
中等收入国家,MIC,15.8756952285767
马里,MLI,22.4033794403076
马耳他,MLT,18.9048004150391
缅甸,MMR,13.8000001907349
蒙古,MNG,20.4833507537842
莫桑比克,MOZ,19.9460105895996
毛里求斯,MUS,20.905179977417
马拉维,MWI,21.7978992462158
马来西亚,MYS,21.3158206939697
北美,NAC,12.3359603881836
纳米比亚,NAM,26.3903999328613
尼日尔,NER,21.6615009307861
尼加拉瓜,NIC,26.4080009460449
荷兰,NLD,12.9115495681763
挪威,NOR,17.2820606231689
尼泊尔,NPL,19.1284999847412
新西兰,NZL,17.7527408599854
经合组织成员,OED,13.1901397705078
其他小国,OSS,15.115309715271
巴基斯坦,PAK,15.0634803771973
秘鲁,PER,18.2359199523926
波兰,POL,11.5979404449463
