port,country
2,DZA
1,AGO
8,ARG
12,AUS
1,BHR
1,BGD
3,BEL
1,BEN
11,BRA
2,BGR
1,KHM
1,CMR
5,CAN
10,CHL
13,CHN
2,CHN
5,COL
1,COG
2,CRI
1,HRV
1,CYP
2,DNK
1,SWE
1,DJI
3,ECU
5,EGY
1,SLV
1,EST
9,FIN
7,FRA
1,GEO
5,DEU
2,GHA
3,GRC
1,Guadaloupe
3,GTM
1,GIN
2,HND
1,ISL
9,IND
2,IDN
2,IRN
2,IRL
3,ISR
12,ITA
1,CIV
1,JAM
8,JPN
1,JOR
1,KEN
2,KWT
3,LVA
1,LBN
1,LBR
1,LTU
5,Malasyia
1,MLT
1,MUS
6,MEX
2,MAR
1,MOZ
1,NAM
3,NLD
1,Netherlands Antilles
6,NZL
2,NGA
2,NOR
2,OMN
2,PAK
5,PAN
1,PNG
3,PER
5,PHL
3,POL
4,PRT
1,ROU
4,RUS
1,REU
3,SAU
1,SEN
1,SGP
1,SVN
6,ZAF
4,KOR
16,ESP
1,LKA
1,SDN
6,SWE
3,TWN
1,TZA
2,THA
1,TGO
1,Tunesia
3,TUN
4,TUR
2,UKR
2,ARE
11,GBR
28,USA
1,URY
5,VEN
1,VNM
2,VNM
1,YEM
