T28,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,Grants of patents (number),"397,580",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",1995,Grants of patents (number),"430,500",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2005,Grants of patents (number),"633,100",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2010,Grants of patents (number),"914,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2017,Grants of patents (number),"1,397,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2018,Grants of patents (number),"1,423,000",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2019,Grants of patents (number),"1,500,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2005,Grants of patents (number),"4,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2010,Grants of patents (number),"9,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2017,Grants of patents (number),"9,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2018,Grants of patents (number),"8,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2019,Grants of patents (number),"9,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2005,Grants of patents (number),"14,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2010,Grants of patents (number),"17,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2017,Grants of patents (number),"20,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2018,Grants of patents (number),"24,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2019,Grants of patents (number),"26,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2005,Grants of patents (number),"288,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2010,Grants of patents (number),"469,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2017,Grants of patents (number),"796,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2018,Grants of patents (number),"812,000",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2019,Grants of patents (number),"829,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2005,Grants of patents (number),"150,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2010,Grants of patents (number),"160,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2017,Grants of patents (number),"203,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2018,Grants of patents (number),"226,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2019,Grants of patents (number),"239,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2005,Grants of patents (number),"15,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2010,Grants of patents (number),"18,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2017,Grants of patents (number),"25,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2018,Grants of patents (number),"19,100",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2019,Grants of patents (number),"18,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2017,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2018,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2005,Grants of patents (number),395,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2010,Grants of patents (number),349,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2017,Grants of patents (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2018,Grants of patents (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2019,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2010,Patents in force (number),349,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2017,Patents in force (number),"4,946",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2018,Patents in force (number),"5,021",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2019,Patents in force (number),"6,017",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2005,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2017,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2018,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2019,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,1995,Grants of patents (number),118,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2005,Grants of patents (number),443,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2010,Grants of patents (number),"1,076",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
