Country Name,Country Code,GNI,Percent_Of_Educate,CPIA,Percent_Energy,Female_Labor_Percent,Poor_Percent,Per_Water,Gini,Malnutrition,ISO3,CPI score 2021,port,country_x,Value,country_y
阿鲁巴,ABW,36750.0,22.8549900054932,,,,,,,,,,,,1.162857142857143,ABW
,AFE,3742.612950230648,18.556805610656752,3.283333333333333,-31.65542611837299,47.37204714073312,,,,26.05202017552597,,,,,,
阿富汗,AFG,2190.0,17.0675601959229,2.7,,22.07381520807965,,,,28.2,AFG,16.0,,,0.5438461538461539,AFG
,AFW,4177.241642369067,17.6112308502197,3.3,-76.48616005650476,45.70229638655517,,,,14.632073723985863,,,,,,
安哥拉,AGO,7680.0,9.86478042602539,2.8,-540.9974712296487,49.76087655123116,,,,24.4,AGO,29.0,1.0,AGO,0.785,AGO
阿尔巴尼亚,ALB,13830.0,,,33.26028861811847,43.88984685676844,,,,4.9,ALB,35.0,,,1.0980952380952382,ALB
阿拉伯联盟国家,ARB,16026.859780476083,,2.96,-164.53920470097145,21.998912856176478,,,,14.007925714560225,,,,,,
阿拉伯联合酋长国,ARE,73740.0,,,-181.45959229882104,17.507501103967734,,,,6.3,ARE,69.0,2.0,ARE,0.98375,ARE
阿根廷,ARG,23000.0,15.1585597991943,,13.02936074290009,43.21600458794689,1.5,,43.6,3.9,ARG,38.0,8.0,ARG,1.142,ARG
亚美尼亚,ARM,14420.0,12.5933399200439,4.1,72.70666159921605,47.191070110701105,1.8,,34.4,4.3,ARM,49.0,,,1.091764705882353,ARM
安提瓜和巴布达,ATG,21340.0,,,,,,,,,,,,,1.0544444444444443,ATG
澳大利亚,AUS,52240.0,14.3240003585815,,-143.73862049554484,46.7867180066848,0.5,,34.7,2.5,AUS,73.0,12.0,AUS,1.0450000000000002,AUS
奥地利,AUT,57870.0,10.9884901046753,,65.3854438379604,46.93377296451258,0.7,,30.8,2.5,AUT,74.0,,,1.006875,AUT
阿塞拜疆,AZE,16940.0,10.5025300979614,3.8,-310.3846943892358,49.312461338717775,,,,2.5,AZE,30.0,,,1.033125,AZE
布隆迪,BDI,840.0,27.4972400665283,3.6,,51.761395653054834,,,,,BDI,19.0,,,0.8233333333333334,BDI
比利时,BEL,54790.0,12.3507099151611,,80.09179196696829,46.64134886282119,0.2,,28.4,2.5,BEL,73.0,3.0,BEL,1.102777777777778,BEL
贝宁,BEN,3470.0,26.1439609527588,3.5,46.59070712762667,49.56708203801018,,,,8.5,BEN,42.0,1.0,BEN,0.6592307692307693,BEN
布基纳法索,BFA,2150.0,22.661169052124,3.7,,44.99014529990325,,,,14.4,BFA,42.0,,,0.7535000000000001,BFA
孟加拉国,BGD,5390.0,21.0,3.6,17.7915866489742,30.87458394888615,19.2,,32.4,15.7,BGD,26.0,1.0,BGD,0.98,BGD
保加利亚,BGR,24150.0,12.7309503555298,,40.74864321677206,46.641583559091195,3.4,,41.3,4.3,BGR,42.0,2.0,BGR,1.0627777777777778,BGR
巴林,BHR,49600.0,,,-58.33063562087404,21.667245608079995,,,,,BHR,42.0,1.0,BHR,1.1726315789473685,BHR
巴哈马,BHS,36180.0,,,,50.212868084395936,,,,,BHS,64.0,,,1.105,BHS
波斯尼亚和黑塞哥维那,BIH,15720.0,,3.7,35.372746570174,40.442539526111446,,,,2.5,BIH,35.0,,,1.33,BIH
白俄罗斯,BLR,19500.0,13.2640399932861,,86.77969892703159,49.68896583301073,0.0,,28.6,2.5,BLR,41.0,,,1.0686666666666669,BLR
伯利兹,BLZ,7170.0,22.7557792663574,,,38.873982419861115,,,,8.1,,,,,1.1135,BLZ
百慕大,BMU,86450.0,12.9342403411865,,,,,,,,,,,,1.227,BMU
玻利维亚,BOL,8910.0,,3.8,-147.91240013560082,44.44759866286452,,,,20.3,BOL,30.0,,,0.9838461538461538,BOL
巴西,BRA,15430.0,16.5049095153809,,13.890819183635635,43.837288066482564,,,,3.9,BRA,38.0,11.0,BRA,1.0891666666666666,BRA
巴巴多斯,BRB,15740.0,18.5185508728027,,,49.854489371689134,,,,4.8,BRB,65.0,,,1.0453846153846154,BRB
文莱达鲁萨兰国,BRN,86130.0,11.4419498443604,,-357.3943791761478,42.94227663428451,,,,2.5,BRN,,,,1.131578947368421,BRN
不丹,BTN,11250.0,25.5244808197021,4.1,,45.68085166570801,,,,,BTN,68.0,,,0.9485714285714286,BTN
博茨瓦纳,BWA,16980.0,,,53.8457969759413,49.44051585449822,,,,31.5,BWA,55.0,,,1.066,BWA
中非共和国,CAF,1110.0,9.79780960083008,2.6,,45.534149120240016,,,,49.9,CAF,24.0,,,0.605,CAF
加拿大,CAN,49140.0,12.3359603881836,,-51.37487379844099,47.50117139064231,0.5,,33.8,2.5,CAN,74.0,5.0,CAN,1.0688235294117647,CAN
中歐和波羅的海,CEB,32835.18218658818,11.546480178833,,37.69592664275682,45.20968815743216,,,,2.7411546106996614,,,,,,
瑞士,CHE,69440.0,15.5266599655151,,51.780828025888646,46.79437255010701,0.0,,33.1,2.5,CHE,84.0,,,0.9588888888888888,CHE
智利,CHL,24550.0,21.3795299530029,,70.61266250239775,42.43970261824476,,,,3.6,CHL,67.0,10.0,CHL,1.009375,CHL
中国,CHN,17090.0,14.4071702957153,,15.021800740113905,44.804092412804366,11.2,,43.7,2.5,CHN,45.0,13.0,CHN,1.0328571428571427,CHN
中国,CHN,17090.0,14.4071702957153,,15.021800740113905,44.804092412804366,11.2,,43.7,2.5,CHN,45.0,2.0,CHN,1.0328571428571427,CHN
科特迪瓦,CIV,5300.0,22.7727508544922,3.5,7.0775386886228935,40.96788614491273,,,,22.3,CIV,36.0,1.0,CIV,,
喀麦隆,CMR,3820.0,18.7538890838623,3.2,-20.647901475569853,46.85572465375516,,,,7.6,CMR,27.0,1.0,CMR,0.834,CMR
刚果（金）,COD,1110.0,16.1747398376465,3.2,1.9592673013969177,48.540152657180805,,,,41.7,COD,19.0,,,0.76,COD
刚果（布）,COG,6020.0,24.7277793884277,3.0,-464.55872061950043,49.946893851501265,,,,37.7,COG,21.0,1.0,COG,0.874,COG
哥伦比亚,COL,15320.0,16.2627296447754,,-239.49373490998101,43.27610554037528,7.8,,54.6,13.1,COL,39.0,5.0,COL,1.0552380952380953,COL
科摩罗,COM,3140.0,,2.9,,37.529015520458785,,,,,COM,20.0,,,0.966,COM
佛得角,CPV,7310.0,17.8430099487305,4.3,,43.81061968340337,,,,17.0,CPV,58.0,,,1.1053333333333335,CPV
哥斯达黎加,CRI,21150.0,30.1514205932617,,49.834183800871344,40.75801793904078,1.7,,49.3,4.3,CRI,58.0,2.0,CRI,1.0661111111111112,CRI
加勒比小国,CSS,16098.89266618691,17.59129476547245,3.64,-78.4108039231565,44.24626827207652,,,,8.551993800251802,,,,,,
库拉索,CUW,27100.0,,,99.88641977550571,,,,,,,,,,,
开曼群岛,CYM,61850.0,,,,,,,,,,,,,0.9675,CYM
塞浦路斯,CYP,40390.0,16.4027805328369,,96.35067157026708,46.37990791906062,0.1,,37.0,6.2,CYP,53.0,1.0,CYP,1.04,CYP
捷克共和国,CZE,40260.0,13.971489906311,,31.62369863145948,44.62971690431109,0.0,,26.6,2.5,CZE,54.0,,,1.073888888888889,CZE
德国,DEU,57460.0,11.2301797866821,,62.093783982408,46.981797572036506,0.0,,31.9,2.5,DEU,80.0,5.0,DEU,0.97,DEU
多米尼克,DMA,12680.0,,3.7,,,,,,5.6,DMA,55.0,,,1.028888888888889,DMA
丹麦,DNK,62260.0,15.3363304138184,,4.908089604394314,47.478677272233305,0.3,,28.7,2.5,DNK,88.0,2.0,DNK,1.0911111111111111,DNK
多米尼加共和国,DOM,18310.0,25.9316005706787,,87.23523702719321,40.61926734211752,2.9,,47.7,12.3,DOM,30.0,,,1.08,DOM
